[2019-03-27 11:39:34,594] INFO (delegated_ticket_script.py: 118) Username / Password extracted successfully
[2019-03-27 11:40:06,299] INFO (delegated_ticket_script.py: 163) Chrome driver path: C:\Users\sratnappuli\Desktop\delegated_tickets_script\drivers\chromedriver.exe
[2019-03-27 11:40:06,302] INFO (delegated_ticket_script.py: 164) Artologik URL: https://fss.virtusa.com
[2019-03-27 11:40:13,667] INFO (delegated_ticket_script.py: 179) Username box found
[2019-03-27 11:40:18,437] INFO (delegated_ticket_script.py: 187) Password box found
[2019-03-27 11:40:32,043] INFO (delegated_ticket_script.py: 192) Login button found
[2019-03-27 11:40:52,572] INFO (delegated_ticket_script.py: 200) Switched to left navigation menu
[2019-03-27 11:40:59,868] INFO (delegated_ticket_script.py: 205) Tickets button found and clicked!
[2019-03-27 11:41:20,154] INFO (delegated_ticket_script.py: 215) Switched to top pane
[2019-03-27 11:41:20,384] INFO (delegated_ticket_script.py: 220) Switched to dropdown list pane
[2019-03-27 11:41:26,447] INFO (delegated_ticket_script.py: 227) Dropdown list found and clicked!
[2019-03-27 11:41:32,259] INFO (delegated_ticket_script.py: 232) All New and Current Tickets option from the list is found and clicked!
[2019-03-27 11:41:53,095] INFO (delegated_ticket_script.py: 246) Switched to tickets pane
[2019-03-27 11:42:13,246] INFO (delegated_ticket_script.py: 256) Reading ticket details...
[2019-03-27 11:42:13,246] INFO (delegated_ticket_script.py: 259) 3 Delegated tickets found
[2019-03-27 11:42:19,459] INFO (delegated_ticket_script.py: 372) Ticket number: 20190327:003
[2019-03-27 11:42:19,517] INFO (delegated_ticket_script.py: 373) Object/Area: Ericsson - Wallstreet Suite
[2019-03-27 11:42:19,598] INFO (delegated_ticket_script.py: 374) Ticket type: Incident
[2019-03-27 11:42:19,686] INFO (delegated_ticket_script.py: 375) Ticket title: EXCEPTION (ttc_misys_import - process is
[2019-03-27 11:42:19,749] INFO (delegated_ticket_script.py: 376) Registered for: Ericsson Group Function Finance
Surveillance, Ericsson
[2019-03-27 11:42:19,867] INFO (delegated_ticket_script.py: 377) Priority: Medium
[2019-03-27 11:42:19,967] INFO (delegated_ticket_script.py: 378) Assigned to: Delegated
Bernehammar, Thomas
[2019-03-27 11:42:20,526] INFO (delegated_ticket_script.py: 404) Data written to the report. Moving to the next row...
[2019-03-27 11:42:20,528] INFO (delegated_ticket_script.py: 405) ---------------------------------
[2019-03-27 11:42:21,301] INFO (delegated_ticket_script.py: 372) Ticket number: 20190327:002
[2019-03-27 11:42:21,358] INFO (delegated_ticket_script.py: 373) Object/Area: Ericsson - Wallstreet Suite
[2019-03-27 11:42:21,414] INFO (delegated_ticket_script.py: 374) Ticket type: Incident
[2019-03-27 11:42:21,473] INFO (delegated_ticket_script.py: 375) Ticket title: EXCEPTION (Activity Chain) - Error - TO-
[2019-03-27 11:42:21,535] INFO (delegated_ticket_script.py: 376) Registered for: Ericsson Group Function Finance
Surveillance, Ericsson
[2019-03-27 11:42:21,595] INFO (delegated_ticket_script.py: 377) Priority: Medium
[2019-03-27 11:42:21,651] INFO (delegated_ticket_script.py: 378) Assigned to: Delegated
Bernehammar, Thomas
[2019-03-27 11:42:21,960] INFO (delegated_ticket_script.py: 404) Data written to the report. Moving to the next row...
[2019-03-27 11:42:21,960] INFO (delegated_ticket_script.py: 405) ---------------------------------
[2019-03-27 11:42:22,461] INFO (delegated_ticket_script.py: 372) Ticket number: 20170505:014
[2019-03-27 11:42:22,505] INFO (delegated_ticket_script.py: 373) Object/Area: Ericsson - Wallstreet Suite
[2019-03-27 11:42:22,539] INFO (delegated_ticket_script.py: 374) Ticket type: Change Request
[2019-03-27 11:42:22,572] INFO (delegated_ticket_script.py: 375) Ticket title: WSS - Upgrade SQL database server from 2
[2019-03-27 11:42:22,601] INFO (delegated_ticket_script.py: 376) Registered for: Ericsson Group Function Finance
Sundberg, Dan
[2019-03-27 11:42:22,641] INFO (delegated_ticket_script.py: 377) Priority: Medium
[2019-03-27 11:42:22,727] INFO (delegated_ticket_script.py: 378) Assigned to: Delegated
Tölldén, Fredrik
[2019-03-27 11:42:23,401] INFO (delegated_ticket_script.py: 404) Data written to the report. Moving to the next row...
[2019-03-27 11:42:23,403] INFO (delegated_ticket_script.py: 405) ---------------------------------
[2019-03-27 11:42:23,403] INFO (delegated_ticket_script.py: 410) Data writing completed
[2019-03-27 11:42:23,466] INFO (delegated_ticket_script.py: 414) Saving the report...
[2019-03-27 11:42:23,467] INFO (delegated_ticket_script.py: 415) Saved successfully. Report name: C:\Users\sratnappuli\Desktop\delegated_tickets_script\reports\Delegated_Ticket_List_20190327_1139.xlsx
